Source Title,Publisher,Year,OCLC Number
The Hermitage Of Flowing Water And Nine Others: Korean Literary World Series 2 - Short Stories,Gateway Press,1983,10725567
The House Of Twilight,Readers International,1989,19352175
The Penguin Book of Korean Short Stories,Penguin,2023,1380653560
The Preview And Other Stories,Asian Humanities Press,2003,52688046
The Prophet And Other Stories,Cornell Univ. East Asia Program,1999,41551481
The Rainy Spell And Other Korean Stories,M.E. Sharpe,1998,37663155
The Rainy Spell And Other Korean Stories,Onyx Press,1983,977860195
The Road To Sampo And Other Korean Short Stories,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983,11573913
The Snowy Road And Other Stories,White Pine Press,1993,28120792
The Star And Other Korean Short Stories,Kegan Paul International,1996,33334908
The Stars And Other Korean Short Stories,Heinemann Asia,1980,8456685
The Underground Village,Honford Star,2018,1089684830
The Unenlightened And Other Korean Short Stories,"Si-sa-yong-o-sa Publishers/Pace International Research, Inc.",1983,10949010
The Voice Of The Governor General And Other Stories Of Modern Korea,EastBridge,2002,49681187
The Wings,Jimoondang,2001,50397345
There A Petal Silently Falls,Columbia University Press,2008,171614648
There Are No Bad People In The World,Apop,2021,-
Time To Eat Lobster: Contemporary Korean Stories On Memories Of The Vietnam War,MerwinAsia,2016,945943271
Two Stories From Korea,MerwinAsia,2016,950882716
Two Travelers And Other Korean Short Stories,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983,11186116
Unspoken Voices,Homa & Sekey,2002,50911548
Waxen Wings: The Acta Koreana Anthology Of Short Fiction From Korea,koryo,2011,704984794
Wayfarer: New Fiction By Korean Women,Women in Translation,1997,35822519
What makes a city?,White Pine Press,2019,1030914223
Words Of Farewell: Stories By Korean Women Writers,Seal Press,1989,20264739
Words Without Borders: The World Through The Eyes Of Writers (An Anthology),Anchor Books,2007,70407731
The Underground Village : Volume 090,Asia publishers,2014,904448619
From Wonso Pond,The Feminist Press,2009,243601862
The Dandelion On The Imjin River,Dong-Suh Munhaksa,1990,23686076
The Waves,Kegan Paul International,1989,19566740
Demons,Strangers Press,2019,1143351184
Little Pilgrim,Parallax Press,2005,60931336
People I Left In Shanghai: Volume 47,Asia publishers,2014,1001467018
Our Happy Time,Atria Books/Marble Arch Press,2014,871330544
Human Decency : Volume 014,Asia publishers,2012,809934329
My Sister Bongsoon,Mosaic Press,2005,61700295
Relics : Volume 078,Asia publishers,2014,1001554982
Ok-Hwa: K-Fiction Series 9,Asia publishers,2015,980302317
Barley : Volume 104,Asia publishers,2015,910728777
Scenes From The Enlightenment,Dalkey Archive Press,2014,883391446
Tungsin-Bul : Volume 107,Asia publishers,2015,1108088355
The Cry Of The Magpies,Jimoondang,2002,52992798
The Shaman Sorceress,Kegan Paul International,1989,1082136324
The Cross Of Shaphan,Si-sa-yong-o-sa,1983,10523604
Ulhwa The Shaman,Larchwood Publications Ltd.,1979,9687329
Potatoes : Volume 086,Asia publishers,2014,1001564060
The Chronicle Of Manchwidang,Jimoondang,2003,53309441
The World's Most Expensive Novel,Asia publishers,2016,963974694
Sakmae And Jami : Volume 084,Asia publishers,2014,1001563527
"B, Book, And Me",Two Lines Press,2020,1105746994
Mina,Two Lines Press,2018,1022986088
Into The Light : Volume 095,Asia publishers,2015,910686394
Mandala,Dong-Suh Munhaksa,1990,76585798
One Left: A Novel,University of Washington Press,2020,1141904417
Divorce,Strangers Press,2019,1266210932
Record Of A Journey To Mujin,Asia publishers,2012,870802548
Seoul-1964-Winter,Hollym,2008,275165845
Giada,Terra e Inferno,2019,-
The Plotters,Anchor Books,2019,1137260937
The Plotters,4th Estate,2019,1079340710
The Plotters,The Text Publishing Company,2018,1041853114
Happy New Year To Everyone : Volume 048,Asia pubilshers,2006,1001467205
I Hear Your Voice,Mariner Books,2017,953710017
Black Flower,Houghton Mifflin,2012,772099547
Your Republic Is Calling You,Mariner Books,2010,502158708
I Have The Right To Destroy Myself,HarcourtBooks,2007,71790103
Photo Shop Murder,Jimoondang,2003,53309440
The Scorpion,Kitaab International Pte. Ltd.,2018,1066233560
The House With A Sunken Courtyard,DALKEY ARCHIVE,2013,882106703
Soul Of Darkness,Asia publishers,2012,808142577
Evening Glow,Asian Humanities Press,2003,52644498
The Wind And The River,Si-sa-yong-o-sa,1988,19466486
"Spring, Spring : Volume 096",Asia publishers,2015,910338800
Blood Sisters,Deep Vellum Publishing,2019,1030906757
The Long Road,Merwin Asia,2010,490811108
Stingray,DALKEY ARCHIVE,2013,881278954
The Sound Of Thunder,Si-sa-yong-o-sa,1990,23738379
Alone Over There : Volume 085,Asia publishers,2014,1001563902
Samnyong The Mute : Volume 097,Asia publishers,2015,910728590
Land: Volume 1,Global Oriental,2011,432409149
Land: Volume 2,Global Oriental,2011,432409149
Land: Volume 3,Global Oriental,2011,432409149
The Curse Of Kim's Daughters,Homa & Sekey,2004,53993095
Land,Kegan Paul International,1996,32347066
Dinner With Buffett,Asia publishers,2014,904963724
Pavane For A Dead Princess,Dalkey Archive Press,2014,883391401
The Man She Loved,Crescent Publications,1986,15433435
Was That Mountain Really There?,Kitaab International Pte. Ltd.,2018,1066234163
Mother's Stake,Asia publishers,2012,808368441
The Red Room,University of Hawaii Press,2009,671821515
Who Ate Up All The Shinga?,Columbia University Press,2009,863223458
Weathered Blossom,Hollym,2006,69734357
Three Days In That Autumn,Jimoondang,2001,82544750
The Naked Tree,Cornell Univ. East Asia Program,1996,34767829
King Sejong,Larchwood Publications Ltd.,1980,7710306
A Day In The Life Of Kubo The Novelist : Volume 093,Asia publishers,2015,910679422
Scenes From Ch'o??nggaye Stream,Stallion Press,2011,668927774
Arpan,Asia publishers,2014,904963756
Tower,Honford Star,2020,1184680591
Untold Night And Day,Jonathan Cape,2020,1184512512
Untold Night And Day: A Novel,The Overlook Press,2020,1161988039
"Milena, Milena, Ecstatic",Strangers Press,2019,1143357995
Recitation,Deep Vellum Publishing,2017,945949035
A Greater Music,Open Letter,2016,944464028
The Forgotten And The Unforgattable: Literature Traversing Between Memory And Oblivion,Seoul International Writers Festival,2016,-
Nowhere To Be Found,Amazon crossing,2015,895727815
Highway With Green Apples,StoryFront,2014,-
Friend: A Novel From North Korea,Columbia University Press,2020,1114275439
Time Difference: K-Fiction Series 10,Asia publishers,2015,922007559
The Jovian Sayings,Stallion Press,2014,894544321
The Ma Rok Biographies,Jimoondang,2001,50405339
The Image Of Virgin Mary In Chosun White Porcelain,Dong-Suh Munhaksa,1990,24081976
The Only Child,Ecco,2020,1099543778
A Walk In The Mountains,Hollym,2004,731006163
The Amusing Life,Darkey Archive,2016,1090013146
The Wind From The South,Si-sa-yong-o-sa,1988,19466499
Almond,HarperVia,2020,1256557938
A Floating City On The Water,Homa & Sekey,2005,55800968
Rainy Days : Volume 109,Asia publishers,2015,910338894
The Muslim Butcher,MerwinAsia,2016,933590451
Tuesday River : Volume 080,Asia publishers,2014,1001555378
The Court Dancer,Pegasus Books,2018,1033567850
The Girl Who Wrote Loneliness,Pegasus,2015,907103923
I'll Be Right There,OTHER PRESS,2014,836261589
Please Look After Mom,"Vintage Books, a division of Random House, Inc.",2012,782965473
The Place Where The Harmonium Was,Asia publishers,2012,870803591
Please Look After Mom,Alfred A. Knopf,2011,648922467
Please Look After Mother,Weidenfeld & Nicolson,2011,1178897423
Our Friend's Homecoming,Asia publishers,2012,809921496
Three Voices At Midnight,Dong-Suh Munhaksa,1988,-
Snail And Soldier Lee,Sung Eum Kak,1996,-
The Seed Must Die,Donga Publishing,1966,3681740
Silver Stallion,SOHO Press,1990,20296465
White Badge,SOHO Press,1989,18806402
Contradictions,Cornell Univ. East Asia Program,2005,61523682
Rust,Jimoondang,2002,769233722
Two Bankruptcies : Volume 102,Asia publishers,2015,910341390
Three Generations,Archipelago Books,2006,56532634
Seaside Village : Volume 100,Asia publishers,2015,910728987
Chinatown,Asia publishers,2012,809927320
The Bird,Telegram,2007,74525580
Chinatown,Hollym,2004,60324522
Chinatown,Jimoondang,2003,57406695
My Clint Eastwood,Asia publishers,2014,904963697
Lecturer Kim And Professor T : Volume 092,Asia publishers,2015,1108313278
The Disaster Tourist,Counterpoint,2020,1178764547
Song Of Everlasting Spring : Volume 083,Asia publishers,2014,1001563472
Between Heaven And Earth,Jimoondang,2002,255150898
Danny,Asia pubilshers,2015,930283063
Father And Son : Volume 077,Asia publishers,2014,1001554938
With The Love For The Stars : Volume 021,Asia publishers,2013,859811397
The Love Of Dunhuang,Cross-Cultural Communications,2005,994454484
The Man Who Was Left As Nine Pairs Of Shoes,Asia publishers,2012,809853083
The Rainy Spell,Jimoondang,2002,255153687
Poor Man's Wife,Asia publishers,2012,870801017
Losing A Sister : Volume 076,Asia publishers,2014,1001554733
The Soil,DALKEY ARCHIVE,2013,883627972
