Source Title,Publisher,Year,OCLC Number
Modern Korean Short Stories And Plays,"Korean Centre, International P.E.N.",1970,148490,"""\""Corée Mœurs et coutumes Anthologies\"",\""Fiction\"",\""Korea\"",\""Korea Social life and customs Literary collections\"",\""Korean drama\"",\""Korean drama Translations into English\"",\""Literary collections\"",\""Literature\"",\""Littérature\"",\""Manners and customs\"",\""Romans\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"""""
Modern Short Stories From Korea,Heinemann Educational Books,1980,8709587,"""\""Corée Mœurs et coutumes Romans, nouvelles, etc\"",\""Fiction\"",\""Korea\"",\""Korea Social life and customs Fiction\"",\""Koreaans\"",\""Korte verhalen\"",\""Manners and customs\"",\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
Modern Short Stories From Korea,Munho-sa,1958,4466106,"""\""Corée Mœurs et coutumes Romans, nouvelles, etc\"",\""Fiction\"",\""Korea\"",\""Korea Social life and customs Fiction\"",\""Manners and customs\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"""""
My Son's Girlfriend,DALKEY ARCHIVE,2013,882106786,"""\""FICTION General\"",\""Nouvelles coréennes\"",\""Short stories, Korean\"""""
My Very Last Possession And Other Stories,M.E. Sharpe,1999,44954471,"""\""Electronic books\"",\""FICTION General\"",\""Korean fiction\"",\""Nouvelles\"",\""Pak, Wan-sŏ, 1931-2011\"",\""Pak, Wan-sŏ, 1931-2011 Translations into English\"",\""Short stories\"",\""Short stories, Korean 20th century\"",\""Translations\"",\""short stories\"""""
Nobody Checks The Time When They are Happy,White Pine Press,2017,974698317,"""\""2000-2099\"",\""FICTION / Short Stories (single author)\"",\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean 21st century Translations into English\"",\""Translations\"",\""short stories\"""""
North Station,Open Letter,2017,974677765,"""\""FICTION Contemporary Women\"",\""FICTION Literary\"",\""FICTION Short Stories (single author)\"",\""Nouvelles\"",\""Pae, Su-a, 1965-\"",\""Pae, Su-a, 1965- Translations into English\"",\""Short stories\"",\""Translations\"",\""short stories\"""""
On The Eve Of The Uprising And Other Stories From Colonial Korea,Cornell Univ. East Asia Program,2010,1252803947,"""\""1900-1999\"",\""Korean literature\"",\""Korean literature 20th century Translations into English\"",\""Short stories, Korean\"",\""Short stories, Korean 20th century Translations into English\"",\""Short stories, Korean Translations into English\"",\""Translations\"""""
On the Origin of Species and Other Stories,Kaya Press,2021,1159545583,"""\""2000-2099\"",\""Kim, Po-yŏng, 1975- Translations into English\"",\""Nouvelles\"",\""Nouvelles coréennes 21e siècle\"",\""Science fiction\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean 21st century\"",\""Translations\"",\""short stories\"""""
One Human Family And Other Stories,White Pine Press,2008,154704551,"""\""Corée du Sud Romans, nouvelles, etc\"",\""Fiction\"",\""Korea (South)\"",\""Korea (South) Fiction\"",\""Romans\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"""""
Panmunjom And Other Stories,East Bridge,2005,56599813,"""\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""Yi, Ho-ch'ŏl, 1932-\"",\""Yi, Ho-ch'ŏl, 1932- Translations into English\"""""
Postwar Korean Short Stories,Seoul National University Press & The Center for Korean Studies at the University of Hawaii,1983,9308452,"""\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
Questioning Minds: Short Stories By Modern Korean Women Writers,University of Hawaii Press,2010,671819994,"""\""Anthologie\"",\""Corée du Sud Romans, nouvelles, etc\"",\""Erzählung\"",\""Fiction\"",\""Frauenliteratur\"",\""Geschichte 1917-1995\"",\""Korea (South)\"",\""Korea (South) Fiction\"",\""Korean fiction Women authors\"",\""Korean fiction Women authors Translations into English\"",\""Koreanisch\"",\""Koreansk litteratur kvinnliga författare översättning till engelska\"",\""LITERARY COLLECTIONS Asian General\"",\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Sydkorea skönlitteratur\"",\""Translations\"",\""short stories\"""""
Rat Fire: Korean Stories From The Japanese Empire,Cornell East Asia Series,2013,837137373,"""\""1900-1999\"",\""Fiction\"",\""History\"",\""Korean literature\"",\""Korean literature 20th century Translations into English\"",\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""Translations into English\"",\""short stories\"""""
Reading Korea: 12 Contemporary Stories,ANVIL Publishing,2008,301486077,"""\""1900-1999\"",\""Short stories, Korean 20th century Translations into English\"""""
Readymade Bodhisattva: The Kaya Anthology Of South Korean Science Fiction,Kaya Press,2019,1028806592,"""\""1900-2099\"",\""Nouvelles\"",\""Science fiction\"",\""Science fiction, Korean\"",\""Science fiction, Korean 20th century\"",\""Science fiction, Korean 21st century\"",\""Short stories\"",\""short stories\"""""
Reflections On A Mask,Homa & Sekey,2002,50916855,"""\""Fathers and sons\"",\""Fathers and sons Korea Fiction\"",\""Fiction\"",\""Identité (Psychologie) Romans, nouvelles, etc\"",\""Identity (Psychology)\"",\""Identity (Psychology) Fiction\"",\""Korea\"",\""Pères et fils Corée Romans, nouvelles, etc\"""""
Reunion So Far Away: A Collection Of Contemporary Korean Fiction,Korean National Commission for Unesco,1994,31626842,"""\""18.90 other Asiatic languages\"",\""1900-1999\"",\""Anthologies (form)\"",\""Fiction\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Romans\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Stories (texts)\"",\""Translations\"",\""Translations (form)\"""""
River Of Fire And Other Stories,Columbia University Press,2012,818856804,"""\""LITERARY COLLECTIONS Asian General\"",\""O, Chŏng-hŭi\"",\""O, Chŏng-hŭi Translations into English\"",\""Translations\"""""
Seopyeonje: The Southerners' Songs,Peter Owen,2011,864900610,"""\""1900-1999\"",\""Blindness\"",\""Blindness Fiction\"",\""Cécité Romans, nouvelles, etc\"",\""Chanteurs Corée Romans, nouvelles, etc\"",\""Erzählung\"",\""FICTION General\"",\""FICTION Literary\"",\""Fiction\"",\""Korea\"",\""Korean fiction\"",\""Korean fiction 20th century\"",\""Koreanisch\"",\""P'ansori\"",\""Roman coréen 20e siècle\"",\""Singers\"",\""Singers Korea Fiction\"""""
Shrapnel And Other Stories,White Pine Press,2002,50729306,"""\""Fiction\"",\""Romans\"",\""Short stories\"",\""Translations\"",\""Yi, Tong-ha, 1942-\"",\""Yi, Tong-ha, 1942- Translations into English\"""""
Strength From Sorrow,Cross-Cultural Communications,2005,68051463,"""\""18.90 other Asiatic languages\"",\""1900-1999\"",\""Stories (texts)\"""""
Sunset: A Ch'ae Manshik Reader,Columbia University Press,2017,970396635,"""\""Ch'ae, Man-sik, 1902-1950\"",\""Ch'ae, Man-sik, 1902-1950 Translations into English\"",\""FICTION Literary\"",\""Nouvelles\"",\""Short stories\"",\""Translations\"",\""short stories\"""""
Sweet Potato: Collected Short Stories By Kim Tongin,Honford Star,2017,1011351953,"""\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
Ten Korean Short Stories,Yonsei University Press,1981,9273898,"""\""Corée Mœurs et coutumes Romans, nouvelles, etc\"",\""Fiction\"",\""Korea\"",\""Korea Social life and customs Fiction\"",\""Manners and customs\"",\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""Translations into English\"",\""short stories\"""""
The Accusation,Serpent's Tail,2017,959035947,"""\""Fiction\"",\""Korea (North)\"",\""Korea (North) Fiction\"",\""Korean fiction\"",\""Nouvelles\"",\""Pandi, 1950-\"",\""Pandi, 1950- Translations into English\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Korea (North) Translations into English\"",\""Translations\"",\""short stories\"""""
The Age of Doubt,Honford Star,2022,1338661644,"""\""Nouvelles\"",\""Pak, Kyŏng-ni, 1926-2008\"",\""Pak, Kyŏng-ni, 1926-2008 Translations into English\"",\""Short stories\"",\""Translations\"",\""short stories\"""""
The Best Short Stories Of Yi Kwang-Su,DORRANCE,2016,945745693,"""\""Nouvelles\"",\""Short stories\"",\""short stories\"""""
The Book Of Masks: Stories,Readers International,1989,21561548,"""\""1900-1999\"",\""Fiction\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Nouvelles coréennes 20e siècle\"",\""Romans\"",\""Short stories in Korean, 1945- - English texts\"",\""Short stories, Korean\"",\""Short stories, Korean 20th century\"",\""Translations\"""""
The Camellias,Jimoondang,2002,51902824,"""\""Kim, Yu-jŏng, 1908-1937\"",\""Kim, Yu-jŏng, 1908-1937 Translations into English\"",\""Koreanisch\"",\""Kurzgeschichte\"",\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
The Cozy Path,Stallion Press,2010,642802779,"""\""Corée du Sud Romans, nouvelles, etc\"",\""Fiction\"",\""Korea (South)\"",\""Korea (South) Fiction\"""""
The Cruel City And Other Korean Short Stories,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983,10503998,"""\""Corea (República Popular Democrática, 1948 ****) Historia\"",\""Corée Mœurs et coutumes Romans, nouvelles, etc\"",\""Fiction\"",\""Korea\"",\""Korea Social life and customs Fiction\"",\""Koreaans\"",\""Manners and customs\"",\""Nouvelles\"",\""Nouvelles coréennes Traductions anglaises\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""Verhalen\"",\""short stories\"""""
The Cry Of The Harp And Other Korean Short Stories: The Best Korean Short Stories No. 2,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983,10877460,"""\""Ch'oe, Chŏng-hŭi, 1912-\"",\""Ch'oe, Chŏng-hŭi, 1912- Translations into English\"",\""Corée Mœurs et coutumes Romans, nouvelles, etc\"",\""Fiction\"",\""Korea\"",\""Korea Social life and customs Fiction\"",\""Manners and customs\"",\""Romans\"",\""Translations\"""""
The Dog Thief,Tamal Vista Publications,2005,68051383,"""\""18.90 other Asiatic languages\"",\""1900-1999\"",\""Fiction\"",\""Romans\"",\""Stories (texts)\"",\""Translations (form)\"""""
The Drizzle And Other Korean Short Stories: Modern Korean Short Stories,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983,11109414,"""\""Corée Mœurs et coutumes Romans, nouvelles, etc\"",\""Fiction\"",\""Korea\"",\""Korea Social life and customs Fiction\"",\""Manners and customs\"",\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
The Dwarf,University of Hawaii Press,2006,647928273,"""\""Corée du Sud Romans, nouvelles, etc\"",\""FICTION General\"",\""Fiction\"",\""Korea (South)\"",\""Korea (South) Fiction\"",\""Pauvres Corée du Sud Romans, nouvelles, etc\"",\""Poor\"",\""Poor Korea (South) Fiction\"""""
The Future Of Silence: Fiction By Korean Women,Zephyr press,2016,936359241,"""\""1900-2099\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Korean fiction 21st century Translations into English\"",\""Nouvelles\"",\""Short stories\"",\""Translations\"",\""Women authors, Korean\"",\""Women authors, Korean 20th century\"",\""Women authors, Korean 21st century\"",\""short stories\"""""
The General's Beard,Homa & Sekey,2002,50915540,"""\""1900-1999\"",\""Fiction\"",\""Korean fiction 20th century Translations into English\"",\""Romans\"""""
The Golden Phoenix: Seven Contemporary Korean Short Stories,Lynne Rienner Pub.,1999,39627650,"""\""1900-1999\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
The Good People,Heinemann Asia,1985,14158577,"""\""1900-1999\"",\""Korean fiction\"",\""Korean literature\"",\""Korean literature 20th century\"",\""Littérature coréenne 20e siècle\"""""
The Hermitage Of Flowing Water And Nine Others: Korean Literary World Series 2 - Short Stories,Gateway Press,1983,10725567,"""\""Corée Mœurs et coutumes Romans, nouvelles, etc\"",\""Fiction\"",\""Korea\"",\""Korea Social life and customs Fiction\"",\""Manners and customs\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"""""
The House Of Twilight,Readers International,1989,19352175,"""\""11030 short 1945- 60030 texts\"",\""Fiction\"",\""Romans\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"""""
The Penguin Book of Korean Short Stories,Penguin,2023,1380653560,"""\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
The Preview And Other Stories,Asian Humanities Press,2003,52688046,"""\""Cho, Sŏn-jak\"",\""Cho, Sŏn-jak Translations into English\"",\""Englisch\"",\""Erzählung\"",\""Translations\"",\""Übersetzung\"""""
The Prophet And Other Stories,Cornell Univ. East Asia Program,1999,41551481,"""\""1900-1999\"",\""Corée Mœurs et coutumes 20e siècle Romans, nouvelles, etc\"",\""Fiction\"",\""Korea\"",\""Korea Social life and customs 20th century Fiction\"",\""Korean fiction\"",\""Littérature coréenne 20e siècle Traductions anglaises\"",\""Manners and customs\"",\""Nouvelles coréennes 20e siècle Traductions anglaises\"",\""Novels\"",\""Romans\"",\""novels\"""""
The Rainy Spell And Other Korean Stories,M.E. Sharpe,1998,37663155,"""\""18.83 Altaic languages\"",\""Corée Moeurs et coutumes Romans\"",\""Corée Mœurs et coutumes Romans, nouvelles, etc\"",\""Fiction\"",\""Korea\"",\""Korea Social life and customs Fiction\"",\""Koreaans\"",\""Littérature corénne 20e siècle\"",\""Manners and customs\"",\""Nouvelles coréennes 20e siècle\"",\""Nouvelles coréennes Anthologies Traductions anglaises\"",\""Romans\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Stories (texts)\"",\""Translations\"",\""Translations (form)\"""""
The Rainy Spell And Other Korean Stories,Onyx Press,1983,977860195,"""\""Short stories, English Translations from Korean\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"""""
The Road To Sampo And Other Korean Short Stories,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983,11573913,"""\""Corée Mœurs et coutumes Romans, nouvelles, etc\"",\""Fiction\"",\""Korea\"",\""Korea Social life and customs Fiction\"",\""Manners and customs\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""Translations into English\"""""
The Snowy Road And Other Stories,White Pine Press,1993,28120792,"""\""1900-1999\"",\""Fiction\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Romans\"",\""Short stories, Korean\"",\""Short stories, Korean 20th century\"",\""Short stories, Korean Translations into English\"",\""Translations\"""""
The Star And Other Korean Short Stories,Kegan Paul International,1996,33334908,"""\""1900-1999\"",\""Anthologie\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Korean fiction Short stories\"",\""Koreanisch\"",\""Kurzgeschichte\"",\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
The Stars And Other Korean Short Stories,Heinemann Asia,1980,8456685,"""\""Corée Mœurs et coutumes Romans, nouvelles, etc\"",\""Fiction\"",\""Hwang, Sun-wŏn, 1915-2000\"",\""Hwang, Sun-wŏn, 1915-2000 Translations into English\"",\""Korea\"",\""Korea Social life and customs Fiction\"",\""Manners and customs\"",\""Translations\"""""
The Underground Village,Honford Star,2018,1089684830,"""\""China Manchuria\"",\""Coréens Chine Mandchourie Romans, nouvelles, etc\"",\""Fiction\"",\""Kang, Kyŏng-ae, 1906-1944\"",\""Kang, Kyŏng-ae, 1906-1944 Translations into English\"",\""Koreans\"",\""Koreans China Manchuria Fiction\"",\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
The Unenlightened And Other Korean Short Stories,"Si-sa-yong-o-sa Publishers/Pace International Research, Inc.",1983,10949010,"""\""1900-1999\"",\""Corée Mœurs et coutumes Romans, nouvelles, etc\"",\""Fiction\"",\""Fictional Work\"",\""Korea\"",\""Korea Social life and customs Fiction\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Manners and customs\"",\""Romans\"",\""Translations\"",\""Translations into English\"""""
The Voice Of The Governor General And Other Stories Of Modern Korea,EastBridge,2002,49681187,"""\""18.90 other Asiatic languages\"",\""Corée du Sud Mœurs et coutumes Romans, nouvelles, etc\"",\""Fiction\"",\""Korea (South)\"",\""Korea (South) Social life and customs Fiction\"",\""Manners and customs\"",\""Romans\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Stories (texts)\"",\""Translations\"",\""Translations (form)\"""""
The Wings,Jimoondang,2001,50397345,"""\""Fiction\"",\""Fictional Work\"",\""Korean fiction\"",\""Korean fiction Translations into English\"",\""Korean literature\"",\""Korean literature Translations into English\"",\""Literature\"",\""Littérature\"",\""Nouvelles\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""Yi, Sang, 1910-1937\"",\""Yi, Sang, 1910-1937 Translations into English\"",\""short stories\"""""
There A Petal Silently Falls,Columbia University Press,2008,171614648,"""\""18.90 other Asiatic languages\"",\""1900-1999\"",\""Fiction\"",\""Korean literature\"",\""Korean literature 20th century\"",\""Littérature coréenne 20e siècle\"",\""Novels\"",\""Romans\"",\""Stories (texts)\"",\""Translations (form)\"",\""novels\"""""
There Are No Bad People In The World,Apop,2021,-,-
Time To Eat Lobster: Contemporary Korean Stories On Memories Of The Vietnam War,MerwinAsia,2016,945943271,"""\""1961-1975\"",\""Fiction\"",\""Fictional Work\"",\""Guerre du Viêt-nam, 1961-1975 Corée du Sud Romans, nouvelles, etc\"",\""Korea (South)\"",\""Pang, Hyŏn-sŏk\"",\""Pang, Hyŏn-sŏk Translations into English\"",\""Romans\"",\""Translations\"",\""Vietnam War, 1961-1975 Korea (South) Fiction\"""""
Two Stories From Korea,MerwinAsia,2016,950882716,"""\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"""""
Two Travelers And Other Korean Short Stories,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983,11186116,"""\""Corée Mœurs et coutumes Romans, nouvelles, etc\"",\""Fiction\"",\""Korea\"",\""Korea Social life and customs Fiction\"",\""Manners and customs\"",\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
Unspoken Voices,Homa & Sekey,2002,50911548,"""\""1900-1999\"",\""Fiction\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Korean fiction Women authors\"",\""Korean fiction Women authors Translations into English\"",\""Romans\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""Translations into English\"""""
Waxen Wings: The Acta Koreana Anthology Of Short Fiction From Korea,koryo,2011,704984794,"""\""1900 - 1999\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Korean literature\"",\""Korean literature 20th century Translations into English\"",\""Littérature coréenne 20e siècle\"",\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
Wayfarer: New Fiction By Korean Women,Women in Translation,1997,35822519,"""\""18.90 other Asiatic languages\"",\""1900-1999\"",\""Anthologies (form)\"",\""Female authors\"",\""Korean\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Literature\"",\""South Korea\"",\""Stories (texts)\"",\""Translations\"",\""Translations (form)\"",\""Women authors, Korean\"",\""Women authors, Korean 20th century\"""""
What makes a city?,White Pine Press,2019,1030914223,"""\""Nouvelles\"",\""Park, Seongwon\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
Words Of Farewell: Stories By Korean Women Writers,Seal Press,1989,20264739,"""\""1900-1999\"",\""Femmes Corée Mœurs et coutumes Romans, nouvelles, etc\"",\""Femmes écrivains Littérature coréenne 20e siècle\"",\""Fiction\"",\""Fictional Work\"",\""Korea\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Korean fiction Women authors\"",\""Korean fiction Women authors Translations into English\"",\""Littérature coréenne 20e siècle Traductions anglaises (vieil anglais)\"",\""Littérature corénne Femmes écrivains\"",\""Nouvelles\"",\""Romans\"",\""Short stories\"",\""Translations\"",\""Translations into English\"",\""Women Korea Social life and customs Fiction\"",\""Women Social life and customs\"",\""short stories\"""""
Words Without Borders: The World Through The Eyes Of Writers (An Anthology),Anchor Books,2007,70407731,"""\""Literature\"",\""Literature Translations into English\"",\""Nouvelles\"",\""Short stories\"",\""Translations\"",\""short stories\"""""
The Underground Village : Volume 090,Asia publishers,2014,904448619,"""\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""한국 단편 소설韓國短篇小說\"""""
From Wonso Pond,The Feminist Press,2009,243601862,"""\""Corée Romans, nouvelles, etc\"",\""Fiction\"",\""Fictional Work\"",\""Historical fiction\"",\""Korea\"",\""Korea Fiction\"",\""Romans\"""""
The Dandelion On The Imjin River,Dong-Suh Munhaksa,1990,23686076,"""\""Ausgabe\"",\""Fiction\"",\""Kang, Sin-jae, 1924-\"",\""Kang, Sin-jae, 1924- Translations into English\"",\""Koreanisch\"",\""Littérature coréenne 20e siècle\"",\""Nervo, Amado\"",\""Novel Korean 20th century English Texts\"",\""Romans\"",\""Text\"",\""Translations\"""""
The Waves,Kegan Paul International,1989,19566740,"""\""1900-1999\"",\""Corée Histoire 1910-1945 (Occupation japonaise) Romans, nouvelles, etc\"",\""Country life\"",\""Country life Korea 20th century Fiction\"",\""Fiction\"",\""Fiction in Korean, 1945- - English texts\"",\""Fictional Work\"",\""History\"",\""Korea\"",\""Korea History Japanese occupation, 1910-1945 Fiction\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Korean fiction Translations into English\"",\""Romans\"",\""Translations\"",\""Villages\"",\""Villages Corée 20e siècle Romans, nouvelles, etc\"",\""Villages Korea 20th century Fiction\"""""
Demons,Strangers Press,2019,1143351184,"""\""Nouvelles\"",\""Short stories\"",\""short stories\"""""
Little Pilgrim,Parallax Press,2005,60931336,"""\""18.90 other Asiatic languages\"",\""Fiction\"",\""Novels (texts)\"",\""Religious fiction\"",\""Spiritual formation Buddhism Fiction\"",\""Translations (form)\"""""
People I Left In Shanghai: Volume 47,Asia publishers,2014,1001467018,"""\""1900-1999\"",\""Fiction\"",\""Fictional Work\"",\""Korean literature\"",\""Korean literature 20th century\"",\""Littérature coréenne 20e siècle\"",\""Nouvelles\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
Our Happy Time,Atria Books/Marble Arch Press,2014,871330544,"""\""Condamnés à mort Romans, nouvelles, etc\"",\""Death row inmates\"",\""Death row inmates Fiction\"",\""Femmes Comportement suicidaire Romans, nouvelles, etc\"",\""Fiction\"",\""Love stories\"",\""Novels\"",\""Psychological fiction\"",\""Romance fiction\"",\""Romans\"",\""Women Suicidal behavior\"",\""Women Suicidal behavior Fiction\"",\""novels\"""""
Human Decency : Volume 014,Asia publishers,2012,809934329,"""\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"",\""한국 단편 소설[韓國短篇小說"""
My Sister Bongsoon,Mosaic Press,2005,61700295,"""\""18.90 other Asiatic languages\"",\""Fiction\"",\""Koreaans\"",\""Korean literature\"",\""Korean literature Translations into English\"",\""Koreanisch\"",\""Novels (texts)\"",\""Roman\"",\""Romans\"",\""Translations\"""""
Relics : Volume 078,Asia publishers,2014,1001554982,"""\""1900-1999\"",\""Fiction\"",\""Fictional Work\"",\""Korean literature\"",\""Korean literature 20th century\"",\""Littérature coréenne 20e siècle\"",\""Nouvelles\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
Ok-Hwa: K-Fiction Series 9,Asia publishers,2015,980302317,"""\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"""""
Barley : Volume 104,Asia publishers,2015,910728777,"""\""1900-1999\"",\""Fiction\"",\""Korean literature\"",\""Korean literature 20th century\"",\""Littérature coréenne 20e siècle\"",\""Nouvelles\"",\""Novels\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""novels\"",\""short stories\"",\""한국 단편 소설韓國短篇小說\"",\""한국 문학[韓國文學"""
Scenes From The Enlightenment,Dalkey Archive Press,2014,883391446,"""\""Corée Romans, nouvelles, etc\"",\""Fiction\"",\""Korea\"",\""Korea Fiction\"",\""Koreanisch\"",\""Novels\"",\""Roman\"",\""Romans\"""""
Tungsin-Bul : Volume 107,Asia publishers,2015,1108088355,"""\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"""""
The Cry Of The Magpies,Jimoondang,2002,52992798,"""\""Fiction\"",\""Fictional Work\"",\""Kim, Tong-ni, 1913-1995\"",\""Kim, Tong-ni, 1913-1995 Translations into English\"",\""Korean fiction\"",\""Korean fiction Translations into English\"",\""Korean literature\"",\""Korean literature Translations into English\"",\""Literature\"",\""Littérature\"",\""Nouvelles\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
The Shaman Sorceress,Kegan Paul International,1989,1082136324,"""\""1900-1999\"",\""FICTION General\"",\""Kim, Tong-ni, 1913-1995\"",\""Kim, Tong-ni, 1913-1995 Translations into English\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Translations\"""""
The Cross Of Shaphan,Si-sa-yong-o-sa,1983,10523604,"""\""Fiction\"",\""Fictional Work\"",\""Jesus Christ\"",\""Jesus Christ Fiction\"",\""Jesus Fiction\"",\""Jésus-Christ Romans, nouvelles, etc\"",\""Romans\"""""
Ulhwa The Shaman,Larchwood Publications Ltd.,1979,9687329,"""\""Corée Mœurs et coutumes Romans, nouvelles, etc\"",\""Fiction\"",\""Kim, Tong-ni, 1913-1995\"",\""Kim, Tong-ni, 1913-1995 Translations into English\"",\""Korea\"",\""Korea Social life and customs Fiction\"",\""Manners and customs\"",\""Romans\"",\""Translations\"""""
Potatoes : Volume 086,Asia publishers,2014,1001564060,"""\""1900-1999\"",\""Fiction\"",\""Fictional Work\"",\""Korean literature\"",\""Korean literature 20th century\"",\""Littérature coréenne 20e siècle\"",\""Nouvelles\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
The Chronicle Of Manchwidang,Jimoondang,2003,53309441,"""\""Fiction\"",\""Koreanisch\"",\""Kurzgeschichte\"",\""Romans\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"""""
The World's Most Expensive Novel,Asia publishers,2016,963974694,"""\""2000-2099\"",\""Nouvelles\"",\""Nouvelles coréennes 21e siècle\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean 21st century\"",\""short stories\"""""
